2026-01-10 12:23:11,493 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:23:11,493 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:23:13,320 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:23:24,399 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 12:28:51,435 | INFO | scheduler | Планувальник запущено
2026-01-10 12:28:51,451 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 12:29:09,492 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:29:09,492 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:29:10,491 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:32:08,066 | INFO | scheduler | Планувальник запущено
2026-01-10 12:32:08,066 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 12:32:23,156 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:32:23,155 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:32:24,134 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:34:44,079 | INFO | scheduler | Планувальник запущено
2026-01-10 12:34:44,094 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 12:34:59,758 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:34:59,757 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:35:00,747 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:36:47,096 | INFO | scheduler | Планувальник запущено
2026-01-10 12:36:47,096 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 12:37:24,799 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:37:24,800 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:37:25,859 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:39:50,475 | INFO | scheduler | Планувальник запущено
2026-01-10 12:39:50,475 | INFO | scheduler | Заплановано щоденний запис о 09:00
2026-01-10 12:40:10,775 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:40:10,775 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:40:11,651 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:40:27,936 | INFO | recorder | Тестовий запис збережено: static\recordings\recording_1768041622.avi
2026-01-10 12:40:32,943 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:40:33,487 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:40:34,699 | INFO | screenshot | Скріншот збережено: static\screenshots\screenshot_1768041634.jpg
2026-01-10 12:40:39,291 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 12:40:41,870 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:40:41,870 | INFO | frame_grabber | Frame grabber запущено
2026-01-10 12:40:42,103 | INFO | camera_source | Камера успішно відкрита (rtsp=False)
2026-01-10 12:40:45,895 | INFO | frame_grabber | Frame grabber зупинено
2026-01-10 12:43:08,047 | INFO | camera_source | Відкриваю локальну камеру: index=0
2026-01-10 12:43:08,047 | INFO | frame_grabber | Frame grabber запущено
